iter	Passed	Remaining
0	0	75
1	1	68
2	2	65
3	2	59
4	3	59
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	9	51
15	9	50
16	10	49
17	10	48
18	11	48
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	41	22
65	42	21
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
